seconds,cpu(%),memory(%)
5,0.0,0.0
11,0.0,0.0
17,0.0,0.0
22,0.0,0.0
28,0.0,0.0
33,0.0,0.0
39,0.0,0.0
44,0.0,0.0
50,0.0,0.0
55,0.0,0.0
60,0.0,0.0
66,0.0,0.0
71,0.0,0.0
76,0.0,0.0
81,0.0,0.0
86,0.0,0.0
91,0.0,0.0
97,0.0,0.0
103,0.0,0.0
108,0.0,0.0
114,0.0,0.0
120,0.0,0.0
126,0.0,0.0
131,0.0,0.0
137,0.0,0.0
143,0.0,0.0
148,0.0,0.0
154,0.0,0.0
159,0.0,0.0
165,0.0,0.0
170,0.0,0.0
175,0.0,0.0
180,0.0,0.0
185,0.0,0.0
190,0.0,0.0
195,0.0,0.0
201,0.0,0.0
206,0.0,0.0
212,0.0,0.0
217,0.0,0.0
223,0.0,0.0
228,0.0,0.0
234,0.0,0.0
240,0.0,0.0
246,0.0,0.0
251,0.0,0.0
257,0.0,0.0
263,0.0,0.0
268,0.0,0.0
273,0.0,0.0
279,0.0,0.0
284,0.0,0.0
289,0.0,0.0
294,0.0,0.0
299,0.0,0.0
304,0.0,0.0
310,0.0,0.0
315,0.0,0.0
320,0.0,0.0
326,0.0,0.0
332,0.0,0.0
337,0.0,0.0
343,0.0,0.0
348,0.0,0.0
354,0.0,0.0
360,0.0,0.0
366,0.0,0.0
371,0.0,0.0
377,0.0,0.0
383,0.0,0.0
388,0.0,0.0
393,0.0,0.0
398,0.0,0.0
404,0.0,0.0
409,0.0,0.0
414,0.0,0.0
419,0.0,0.0
424,0.0,0.0
430,0.0,0.0
436,0.0,0.0
441,0.0,0.0
446,0.0,0.0
452,0.0,0.0
458,0.0,0.0
464,0.0,0.0
470,0.0,0.0
475,0.0,0.0
481,0.0,0.0
487,0.0,0.0
492,0.0,0.0
497,0.0,0.0
502,0.0,0.0
507,0.0,0.0
512,0.0,0.0
517,0.0,0.0
523,0.0,0.0
528,0.0,0.0
533,0.0,0.0
539,0.0,0.0
544,0.0,0.0
550,0.0,0.0
555,0.0,0.0
561,0.0,0.0
566,0.0,0.0
572,0.0,0.0
577,0.0,0.0
583,0.0,0.0
589,0.0,0.0
595,0.0,0.0
600,0.0,0.0
606,0.0,0.0
611,0.0,0.0
616,0.0,0.0
621,0.0,0.0
626,0.0,0.0
631,0.0,0.0
636,0.0,0.0
641,0.0,0.0
647,0.0,0.0
653,0.0,0.0
658,0.0,0.0
663,0.0,0.0
669,0.0,0.0
674,0.0,0.0
680,0.0,0.0
685,0.0,0.0
691,0.0,0.0
697,0.0,0.0
702,0.0,0.0
708,0.0,0.0
713,0.0,0.0
719,0.0,0.0
724,0.0,0.0
730,0.0,0.0
735,0.0,0.0
740,0.0,0.0
745,0.0,0.0
751,0.0,0.0
756,0.0,0.0
762,0.0,0.0
767,0.0,0.0
772,0.0,0.0
778,0.0,0.0
783,0.0,0.0
789,0.0,0.0
794,0.0,0.0
799,0.0,0.0
805,0.0,0.0
810,0.0,0.0
816,0.0,0.0
821,0.0,0.0
827,0.0,0.0
832,0.0,0.0
838,0.0,0.0
843,0.0,0.0
849,0.0,0.0
854,0.0,0.0
860,0.0,0.0
866,0.0,0.0
872,0.0,0.0
877,0.0,0.0
883,0.0,0.0
889,0.0,0.0
894,0.0,0.0
900,0.0,0.0
906,0.0,0.0
